text,emotion,source
And then there was none. Goodbye beard (of sorts) #MensFashion,sarcasm,tweeteval_irony_train
LUV when my hair is frozen 😃,sarcasm,tweeteval_irony_train
@user that's totally obscure...,sarcasm,tweeteval_irony_train
My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup,sarcasm,tweeteval_irony_train
@user @user Second prize is TWO signed copies of Boris' book. #onlyKidding,sarcasm,tweeteval_irony_train
Studying history;reading #gameofthrones | #asongofice&fire,sarcasm,tweeteval_irony_train
Illinois just made it illegal to film cops? I guess that's a step in the right direction.  #wtf,sarcasm,tweeteval_irony_train
@user The fact that Whites are prone to universal thinking is actually racial in and of itself.,sarcasm,tweeteval_irony_train
Best Christmas Eve news: I have a half sister. 😂👍 #sarcasm #thanksdad,sarcasm,tweeteval_irony_test
"But @user was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!",sarcasm,tweeteval_irony_train
"@user you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago",sarcasm,tweeteval_irony_validation
@user @user @user @user @user Probably folks like #FullMcIntosh who don't buy games.  #gamergate,sarcasm,tweeteval_irony_validation
"@user oh joy, now i get to have even more of them in my living room!  #putyourtoysaway #badboyfriend",sarcasm,tweeteval_irony_validation
Hiding in plain sight. By #MichaelBeerens (http://t.co/EJaFcMsIrA) #graffiti #streetart,sarcasm,tweeteval_irony_train
Good crowd at the Independence Bowl...,sarcasm,tweeteval_irony_train
@user I can't stand watching a #UKvsLOU game with a Louisville fan! They're as bad as Steelers fans. #BBN @user,sarcasm,tweeteval_irony_train
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,sarcasm,tweeteval_irony_train
@user Being doing projects for university all day! My life is sooooo interesting,sarcasm,tweeteval_irony_validation
"@user transfer fund of £250,000 is given to .... Nottingham Forest a team with a transfer embargo.",sarcasm,tweeteval_irony_train
father sent me down to buy ingredients cos he wanna fry some noodles up i remembered everything else but the noodles #somuchwin,sarcasm,tweeteval_irony_train
@user what's the rush? His leg is still attached right?  #dr.dabo,sarcasm,tweeteval_irony_train
"The whole #Misogyny thing is hanging in there with Women from the right . A cat fight now ?, imagine pulling that on the left #pmlive",sarcasm,tweeteval_irony_train
Love the fact that I turned off my alarm this morning and slept till so freaking late #not,sarcasm,tweeteval_irony_test
Keep running from your problems. That always works.,sarcasm,tweeteval_irony_train
"No reply day! I mean, week!|#Happiness",sarcasm,tweeteval_irony_validation
Such a fun day in the lib studying Econ for 14 hours.. can't wait to do it again tomorrow  #ThisIsMiserable,sarcasm,tweeteval_irony_train
"I'm going to call today's commute ""quality time"" w/ my mini. 1 hour & 40 minutes of ""quality time."" Thanks DC rush hour! #Optimism",sarcasm,tweeteval_irony_train
Oh how I love that my ass is too big to fit into my jeans anymore.  #bigbootybitches,sarcasm,tweeteval_irony_train
@user Won't our national hockey expert at 24 Sussex Drive join you??,sarcasm,tweeteval_irony_train
@user @user good step by BjP goons,sarcasm,tweeteval_irony_train
"I deff missed my mom yelling up the stairs ""chanelle wake up!!!!!!"" #lmao  #stfu jks love u cuz you'll prob see this",sarcasm,tweeteval_irony_train
Just received an email that I am the heir to the Nigerian Petroleum Corporation. I should immediately send them all my bank info.,sarcasm,tweeteval_irony_train
When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda,sarcasm,tweeteval_irony_test
#NYPD  😟😕😢😪😞 not cute #NYPDMutiny I am sure the citizens feel real safe  you showed us who you are.,sarcasm,tweeteval_irony_train
@user the resemblance is uncanny!  #firefly @user,sarcasm,tweeteval_irony_train
Ma thing,sarcasm,tweeteval_irony_train
"@user logic is an invention by the kuffar, everything makes perfect sense. () Like monkeys stoning she monkeys",sarcasm,tweeteval_irony_train
Working hard right now,sarcasm,tweeteval_irony_train
@user - Russell Brand discussed today how much his London mansion is worth..and Marx was married to a baroness  #scum #weak,sarcasm,tweeteval_irony_train
@user you'd really want to watch that!! #excessivecomsumption !,sarcasm,tweeteval_irony_train
"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm",sarcasm,tweeteval_irony_test
crushes are great until you realize they'll never be interested in you.| :p,sarcasm,tweeteval_irony_train
Listened to Gimme Shelter while driving in the rain😂,sarcasm,tweeteval_irony_validation
Sums up my week really  #NursingLife #WorkingDaysAndNights,sarcasm,tweeteval_irony_train
Being able to think your self angry is such a nice gift to have...  #ItsACurse,sarcasm,tweeteval_irony_train
"I often worry that wealth doesn't  have enough influence in society, so pleased to see this being addressed",sarcasm,tweeteval_irony_train
@user even your link to the service alert is down.,sarcasm,tweeteval_irony_validation
"#Love is far more important than #money!|The problem is, you only know it once you have money!| #life #humanity",sarcasm,tweeteval_irony_train
@user @user You do look a die hard fan of his,sarcasm,tweeteval_irony_train
"@user he offered it but he made it sure the board refused double 16m in October, all in Rangers interest",sarcasm,tweeteval_irony_train
Fun night with these girls. It may look like we are eating dessert but its just for show ...,sarcasm,tweeteval_irony_train
@user @user world's greatest fans....,sarcasm,tweeteval_irony_train
@user yes mother as you wish,sarcasm,tweeteval_irony_validation
EmoPostAhead lol the sucky thing about seeing beauty in everything? You see the beauty in a liar #BeautifulLiar #lovethwayyoulie #NOT,sarcasm,tweeteval_irony_test
Aaaaaaaaand we're back in the ER. Hooray for no sleep!,sarcasm,tweeteval_irony_train
"@user to tell you the truth, that may have been the smartest thing you've ever tweeted.  #ireallythinkyouareafuckingidiot",sarcasm,tweeteval_irony_train
idk what I love more how cold my western civ class is or western civ.,sarcasm,tweeteval_irony_train
Most of us didn't focus in the #ADHD lecture. |.|#irony,sarcasm,tweeteval_irony_test
".@ShawnaTova Computing, the Internet, personal computers & smart phones were all invented by that ""pond scum""  @user",sarcasm,tweeteval_irony_train
"Since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem #not",sarcasm,tweeteval_irony_test
Taking the Christmas lights down in the swamp will be a blast.,sarcasm,tweeteval_irony_validation
"Today's court proceedings, allowing prisoners access to books in England & Wales, surely confirms it's time to limit judicial review.",sarcasm,tweeteval_irony_train
"Oh look, we're having another storm in Sydney.  How unusual.",sarcasm,tweeteval_irony_train
"@user @user The more liberal the city, the more class and intelligence it exudes.",sarcasm,tweeteval_irony_train
#Laundrymatfun#LOL#YesIsaidNOT#spincycle#youspinmeround#recordplayer#thatsmykid#80smusic#teachingth,sarcasm,tweeteval_irony_train
Jeez it's a lovely morning out!! 💨💧💦 👎  #Ireland #December,sarcasm,tweeteval_irony_train
@user He's just trying to drive Suh's price up.,sarcasm,tweeteval_irony_train
I am the happiest person ever when @user wakes me up in the morning!,sarcasm,tweeteval_irony_train
Well said @user I for one am fed up of all these women breastfeeding ostentatiously!,sarcasm,tweeteval_irony_validation
saturday class wee,sarcasm,tweeteval_irony_train
"Lots of people tweeting pictures from their cars of their snowy commutes to work, whilst saying ""stay safe"" Oh, the #irony!",sarcasm,tweeteval_irony_test
Just got the message I need to start working at another location. Brilliant!  now rushing towards second location. Oh god I hate Mondays,sarcasm,tweeteval_irony_train
Stuck in the traffic at 7.55am. Yuppy -.-  #happytuesday,sarcasm,tweeteval_irony_train
Nice weather for today.. #not 😠,sarcasm,tweeteval_irony_test
"Oh great, @user has pop up ads now. Just what I want when trying to quickly access account info.",sarcasm,tweeteval_irony_train
Stinker of a day... Nothing has gone right. Got worse as the day went on... #Ahhhhhhhhh #Depression #CantWaitForTomorrow,sarcasm,tweeteval_irony_train
. which is why i've visited #pakistan as many times as i have .. sez @user,sarcasm,tweeteval_irony_validation
#TGIF oh just kidding I have 30 mins from one job to the next. love 12 hour days. #serverlife #sarcasm #nolife,sarcasm,tweeteval_irony_test
The biggest  is that #Taliban gunned down school kids in the same country that #Malala received the Nobel prize for #Education #Ouch,sarcasm,tweeteval_irony_train
@user @user we all know how well we did under Erickson.,sarcasm,tweeteval_irony_train
Can't wait for the #facup 3rd draw,sarcasm,tweeteval_irony_train
is when someone has been quite vocal against liberals but at the same time supports @user :),sarcasm,tweeteval_irony_train
"@user looking great today Diane, it's not fair you're not on more.  enough Diane",sarcasm,tweeteval_irony_train
@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,sarcasm,tweeteval_irony_train
CIA report highlighting the stark differences b/t the present & former administrations' approach to nat'l security.,sarcasm,tweeteval_irony_train
I just love EU servers....,sarcasm,tweeteval_irony_train
Obviously my day is going to go fantastically well,sarcasm,tweeteval_irony_train
Being used is such a great feeling...,sarcasm,tweeteval_irony_train
"Committed to you, your privacy and an open Web|Please turn on JavaScript to display this page correctly. ||Firefox homepage",sarcasm,tweeteval_irony_train
@user which would ALSO push rates up :) isn't this a fun game?,sarcasm,tweeteval_irony_train
Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask,sarcasm,tweeteval_irony_train
"the people #BillCosby looked down upon are ones coming to his defense. This isn't about race,it's about rape!",sarcasm,tweeteval_irony_train
I love 14 hour shifts  😩😩😩,sarcasm,tweeteval_irony_train
"Thanks to #TeamIpswich ED for making the news crew and I so welcome this morning, as they always do. #BlackFriday filming #ItWasQuiet",sarcasm,tweeteval_irony_train
Gareth's polar opposite is a chicken-loving vegetarian 😂🐣  #Bones @user,sarcasm,tweeteval_irony_train
@user @user I'm sure you're all inconsolable,sarcasm,tweeteval_irony_validation
"@user getting power from wind is so outdated and unsightly, we should be siphoning it directly from the sun by now.",sarcasm,tweeteval_irony_train
I see Toledo made a good name for itself last night,sarcasm,tweeteval_irony_train
i decided to become my own boss to have more free time.. now i have no time left whatsoever.,sarcasm,tweeteval_irony_train
I'm shocked that Mark May doesn't think the Buckeyes should be in the playoff!!! #Sarcasm,sarcasm,tweeteval_irony_test
"Got up early to get the earlier bus , & I miss it!! Now I have to wait...Well this day is starting off wonderful..",sarcasm,tweeteval_irony_train
#ff By ideiasdebolosdocesedelicias. Such a different twist to the regular #frozen cakes :) We love this one! ...,sarcasm,tweeteval_irony_train
Christmas music on the stair master #SundayFunday,sarcasm,tweeteval_irony_train
"@user why yes, because being some man's property is such a privilege  @user   #ironagethinking",sarcasm,tweeteval_irony_validation
Jordan fan here|| 😛 -not a hater.,sarcasm,tweeteval_irony_train
Oh hello flu! Thank you for fooling me in thinking you were gone! I missed you so much!  #flu #yaay,sarcasm,tweeteval_irony_train
"@user @user Spoiled, rancid food AND guns in the aisles? Rats in @user great.  #GroceriesNotGuns",sarcasm,tweeteval_irony_train
Foxy Lady..#waynesworld #excellent  😁☺😊,sarcasm,tweeteval_irony_validation
Constipated from eating nothing but shit for three weeks.,sarcasm,tweeteval_irony_train
This week just keeps getting better and better,sarcasm,tweeteval_irony_validation
@user @user I bet those fairways and greens rival the work of @user,sarcasm,tweeteval_irony_train
UK PM making sure child abusers are brought to justice. I can assume people will be brought to justice  #lies,sarcasm,tweeteval_irony_train
Thanks bus. Thanks for telling me where I am. So helpful.,sarcasm,tweeteval_irony_train
"Wallahi speaking to an unbeliever is bid'a, let alone wishing him/her a happy celebration.",sarcasm,tweeteval_irony_validation
Just submitted my final paper of the semester. It's only a make-it or break-it on whether I pass the class. No big deal. 😑👎,sarcasm,tweeteval_irony_train
Love coming to school knowing I have tests all day,sarcasm,tweeteval_irony_train
"@user :-) Go for it. 20th Century Fox copied me and did 21st Century Fox, after all ... , I hasten to add *very* unlitigiously!",sarcasm,tweeteval_irony_train
@user @user he's the detective!!! lol  #OrTypeCast,sarcasm,tweeteval_irony_train
", on the Same day, the 50th anniversary of the #FreeSpeechMovement, a brave critic, was abandoned by our conformist #Press.",sarcasm,tweeteval_irony_train
make up hours sound fun.,sarcasm,tweeteval_irony_train
"Also the only verb that I forgot was ""to forget""",sarcasm,tweeteval_irony_train
It's great to hear a bloodcurdling scream at 4 in the morning...,sarcasm,tweeteval_irony_train
...but then it started itself and made the Windows noise. So starts this exciting day of mine...!,sarcasm,tweeteval_irony_train
2 a.m. trips to Walmart for mess are always fun.,sarcasm,tweeteval_irony_train
"Race 5 at Sandown dogs tonight sponsored by ""Dandenong Budgie Club"" |Hope that's a joke.|Love a seat at that table  #nerds #getalife",sarcasm,tweeteval_irony_train
Pre work shenanigans lmbo alissamarie_b #letswork  #kiddingnotkidding #funtimes #sheseriouslyrocks,sarcasm,tweeteval_irony_train
@user @user Yes. I want to honor someone who died so I'll go steal a TV and Xbox and whatever else I feel entitled to,sarcasm,tweeteval_irony_validation
Husband coming home early? #mongkok #kowloon #hongkong #dongiotravels  #50thfloor ...,sarcasm,tweeteval_irony_validation
"Comcast, greatest customer service on the planet  #comcastistheworst",sarcasm,tweeteval_irony_validation
Is there even math cells? if there is they're not working ahhh hahaha #mathisfun,sarcasm,tweeteval_irony_train
@user @user #IndiawithPakistan but it can never be other way round,sarcasm,tweeteval_irony_train
Yay for Fire Alarms at 3AM #not,sarcasm,tweeteval_irony_test
Just got yelled at by proxy. It's going to be an excellent day. #sarcasm,sarcasm,tweeteval_irony_test
Lesson learnt? Herd of sheep who fought over TVs on #BlackFriday struggling to sell them #irony #capitalism,sarcasm,tweeteval_irony_test
Parking meter obviously forgot to get its own parking ticket.,sarcasm,tweeteval_irony_train
Gotta love a Romanian playing an improvised version of jingle bells in a minor key. Really sets the festive mood. #not,sarcasm,tweeteval_irony_test
"Just as the microphone fails: ""If we were having this conversation 100 years ago..."" @user #WebRTC #WebRTCParis",sarcasm,tweeteval_irony_train
Everything You've Been Told About Copywriting is BS.,sarcasm,tweeteval_irony_train
Highly inflamed stomach is just what I like #not,sarcasm,tweeteval_irony_test
@user @user what???? No verbal submission?,sarcasm,tweeteval_irony_train
My year is ending perfectly😂,sarcasm,tweeteval_irony_validation
Did you know iOS 8 features custom keyboards? #sarcasm,sarcasm,tweeteval_irony_test
Can I ask why we didn't hv GEJ n PDP trending yesterday night,sarcasm,tweeteval_irony_train
@user @user @user @user @user we get it right for business the trickle down fairy will do the rest #NOT,sarcasm,tweeteval_irony_test
"@user @user let's face it, at the mo there's delays on any day ending in a y! #valueformoneynot",sarcasm,tweeteval_irony_train
"I'm so sore, work tomorrow is gonna be fun.. #not",sarcasm,tweeteval_irony_test
Haha who the fuck says that to someone#TrueGentlemen,sarcasm,tweeteval_irony_train
So I heard a college dropout is offering a graduate from best College a jawdropping package!,sarcasm,tweeteval_irony_train
@user I don't think your caramel frappe is salty enough.  #McYuck #lostsale,sarcasm,tweeteval_irony_train
almost 72 hs of a kid asking for his christmas gift and zero answers from @user thank you guys! you are awesome #not,sarcasm,tweeteval_irony_test
Being awake since 3AM is always so much fun,sarcasm,tweeteval_irony_train
Hashtags are great idk why everyone stopped using them #jk  #bye,sarcasm,tweeteval_irony_train
lol drunk mom on Christmas is so fun...  #thisisadisaster ☺🔫🍸,sarcasm,tweeteval_irony_validation
I love being unappreciated,sarcasm,tweeteval_irony_validation
Watching Alison Jackson's portfolio of work #eurobest2014 seems she's cracked it. Celebrity + stunt = #viral #sarcasm,sarcasm,tweeteval_irony_test
Thank you Aidyn and Adele for getting me sick.,sarcasm,tweeteval_irony_train
"Band playing ""Two Tickets to Paradise"" in parking lot at Redskins game.  #Redskins",sarcasm,tweeteval_irony_train
Now I've written down everything I need to know it seems a lot more manageable.,sarcasm,tweeteval_irony_train
@user is so funny rn😅,sarcasm,tweeteval_irony_train
@user they can use white/maroon xmas trees :),sarcasm,tweeteval_irony_train
@user Ill see you in the Finals,sarcasm,tweeteval_irony_validation
Hangovers and work...  RT @user What is your favorite thing about Monday?,sarcasm,tweeteval_irony_train
"Gun nut yells at cops conducting DUI checkpoint, later hit by drunk driver on way home #irony #karma",sarcasm,tweeteval_irony_test
"@user @user |""Colored?"" |Don't they prefer ""negro"" now?|",sarcasm,tweeteval_irony_train
@user You know this is wrong don't you Please help us out here #EUVAT,sarcasm,tweeteval_irony_train
@user @user thank God for Kanye giving these unknowns some help.,sarcasm,tweeteval_irony_validation
"*rushes to take the ""Which Christmas cookie am I?"" personality test*",sarcasm,tweeteval_irony_train
"sorry for being female, I didn't mean to interrupt your perfect little man-world. 😒",sarcasm,tweeteval_irony_train
Finally 2015 will be a worry free year for me.,sarcasm,tweeteval_irony_train
@user but it wasn't as bad as that picture seemed to indicate.  You're still a very horrible person.,sarcasm,tweeteval_irony_train
A tiring selfiee!!but yet looks #freshh :P Aftr long work!!! I love unii,sarcasm,tweeteval_irony_train
Love the trust i get from people 👌,sarcasm,tweeteval_irony_validation
Pulis is available. Will guarantee we stay up,sarcasm,tweeteval_irony_train
"Don't you just love when you say hi to someone in the hallway and they completely ignore you? Yeah, I love that too. 😒👊",sarcasm,tweeteval_irony_train
@user @user @user too much of that herb. New trend of potheads contributing to society maybe? Darn that,sarcasm,tweeteval_irony_train
I am so ready for Monday. 🙆 #sarcasm,sarcasm,tweeteval_irony_test
Well here comes another 6+ page paper. #ilovecollege,sarcasm,tweeteval_irony_train
The Grinch Stole My Sanity via @user #lol #fun #funny,sarcasm,tweeteval_irony_train
one essay submitted now to start the next one :') #thirdyearlife #loveit,sarcasm,tweeteval_irony_validation
@user There's no personal responsibility anymore. You can't expect anyone to think.,sarcasm,tweeteval_irony_train
Ouch that hurt 😂,sarcasm,tweeteval_irony_train
@user @user @user @user @user Christian Europe translated Islamic manuscripts #Irony,sarcasm,tweeteval_irony_test
"No need to act like I'm the fav child, I know this already.",sarcasm,tweeteval_irony_train
Day 1. Ski school with instructor Patrick. Soon I'll be ready for the black slopes. ...,sarcasm,tweeteval_irony_train
Now i officially look single. Ha the,sarcasm,tweeteval_irony_validation
".@ibnlive is the first to cut to ads during primetime to proudly announce that they're ""putting journalism first"". #Irony #NLprimetime",sarcasm,tweeteval_irony_test
@user @user I love button pushers!,sarcasm,tweeteval_irony_train
"Yeah, the prom is the most important event in your life",sarcasm,tweeteval_irony_train
I keep telling my friends I'm busy they need to stop blowing me up but they just can't stop,sarcasm,tweeteval_irony_validation
Yesterday #PeshawarAttack was a top tag and today the only thing twitter nation seems to be concerned about is #PTIKeptPakFirst,sarcasm,tweeteval_irony_validation
My vision looks like this =  just let me enjoy my first winter outside through a peep hole  #growingwinter,sarcasm,tweeteval_irony_train
@user that's funny,sarcasm,tweeteval_irony_validation
"@user Wow, that is just so funny...",sarcasm,tweeteval_irony_train
"Don't know about y'all but, I'm super excited to get out there clean off my car, shovel and deal with fools on the road. Oh yeah.",sarcasm,tweeteval_irony_train
@user @user ikr!! This is not a true Battlefield game! :/|.|.|.|.||,sarcasm,tweeteval_irony_validation
"A woman wearing a t-shirt on @user that says ""Act like a Lady""..",sarcasm,tweeteval_irony_train
@user actually cropped out her daughter in this pic for a selfie 🙈 #topmum,sarcasm,tweeteval_irony_train
@user yay!!!! It works  #HateWhenThingsDontWorkRight,sarcasm,tweeteval_irony_train
@user bring it on. Will look forward to the Easter one more :-))) funnily enough i crave salad and fruit round xmas now!!,sarcasm,tweeteval_irony_train
8ams are just so lovely.,sarcasm,tweeteval_irony_train
@user hmm... let me think about that #sarcasm,sarcasm,tweeteval_irony_test
Execute commands the beginning of a job but it is used to end a person's life Now that's,sarcasm,tweeteval_irony_validation
@ the hospital for a new allergy test... Love it.,sarcasm,tweeteval_irony_train
When you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling #not,sarcasm,tweeteval_irony_test
"I like to think of myself as a broken down Justin Bieber - my philosophy professor, everyone. #sarcasm",sarcasm,tweeteval_irony_test
@user malay mo. its his real name haha. but still nice joke about na richard two. bagong bago  hahahhaah JK,sarcasm,tweeteval_irony_validation
Since when did train fare get so expensive?? Jesus! Might aswell of drove.... Shame I'm drinking,sarcasm,tweeteval_irony_train
Obama wants closer relations with a Marxist nation... I'm SHOCKED I tell you!  SHOCKED!    #cuba,sarcasm,tweeteval_irony_train
It seems that Erdogan sends his best regards to the EU,sarcasm,tweeteval_irony_validation
Oh we get to see The Queens Garden on #itv after she addresses the nation. Just what I always wanted  😳,sarcasm,tweeteval_irony_validation
I guess waking up every couple hours is cool |#not,sarcasm,tweeteval_irony_test
"wow, look at you hotshot.  #isthatajoke",sarcasm,tweeteval_irony_train
We want turkey!!,sarcasm,tweeteval_irony_train
Dead supportive family I've got.,sarcasm,tweeteval_irony_train
At least I woke up feeling a lot better today..,sarcasm,tweeteval_irony_train
Nice weekend off but back at work tonight. Over the fucking moon,sarcasm,tweeteval_irony_train
Good luck to @user  against @user this afternoon after a month of inactivity.   ring rusty.,sarcasm,tweeteval_irony_train
Many of the best ideas come from having fingers too fat for your keyboard.  #nimble  #agile,sarcasm,tweeteval_irony_train
...A teen named Bud Weisser was arrested by cops for breaking into a St. Louis party store...http://t.co/AxejCevQ1e,sarcasm,tweeteval_irony_validation
I love when half the group is really committed and the other half just doesn't give a crap! #perfection,sarcasm,tweeteval_irony_train
well today is gonna be a great day 👌,sarcasm,tweeteval_irony_train
Wow I love school,sarcasm,tweeteval_irony_validation
@user @user I hope that all those people who missed connecting flights take joy in this wonderful experience.  #sorrynotsorry,sarcasm,tweeteval_irony_train
@user becauseeee I miss youu  coffee later?,sarcasm,tweeteval_irony_train
Perfect time to get sick 😢 #not,sarcasm,tweeteval_irony_test
@user @user IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier.  #MichiganMan,sarcasm,tweeteval_irony_train
@user There's so much less controversy now that the BCS has been replaced.,sarcasm,tweeteval_irony_train
Students too busy protesting a grand jury decision to study deserve to fail.  Actions have consequences.,sarcasm,tweeteval_irony_train
"@user @user you can't reason with someone with a bio as moronic as his. ""So should everyone else"" #SoDemocratic",sarcasm,tweeteval_irony_validation
@user No ... now someone will start a rumor of $ABBV pricing their HCV drug same or higher than $GILD #sarcasm,sarcasm,tweeteval_irony_test
wow they seem to be so turnt,sarcasm,tweeteval_irony_train
@user your #ambition is #amazing.  #saintsfc enjoy exit from #ChampionsLeague,sarcasm,tweeteval_irony_train
It is so  nice knowing you have everyone's back and yet no one has mine.,sarcasm,tweeteval_irony_train
@user @user years ago in M && S in Rochdale they had 2 left shoes on sale with a £5 reduction from full price! #bargain,sarcasm,tweeteval_irony_train
"I just drank a healthy, homemade, all fruit smoothie...in a @user beer glass. #irony",sarcasm,tweeteval_irony_test
"If there was no #CFBPlayoff this year, would there really be an argument against #ALAvsOre for a #NationalChampionship? Shouldn't be.",sarcasm,tweeteval_irony_train
Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014,sarcasm,tweeteval_irony_train
Yay for another work at 4am day 😐,sarcasm,tweeteval_irony_train
My dads letting me drywall with him for Christmas. Just what I always wanted.,sarcasm,tweeteval_irony_validation
@user funny,sarcasm,tweeteval_irony_train
There's nothing more intimidating than having to serve an chavvy lanky 19 year old with acne and bum fluff.  #cringe,sarcasm,tweeteval_irony_train
J Cole has a song about being a Virgin and then not being a virgin. #musicalgenius #innovation,sarcasm,tweeteval_irony_train
Lol. Imagine being gay and working in a fudge packing factory.,sarcasm,tweeteval_irony_validation
"@user @user ""Unity we stand"" all white people.",sarcasm,tweeteval_irony_train
@user you're hilarious...,sarcasm,tweeteval_irony_validation
Rolled out of bed for closing.... #ilookreallygood #not,sarcasm,tweeteval_irony_test
I love how I'm completely wide awake,sarcasm,tweeteval_irony_train
Nothing is better then an 8am class.,sarcasm,tweeteval_irony_train
Loooovvveeeeeee when my phone gets wiped -.- #not,sarcasm,tweeteval_irony_test
Staying #casual #monday #funday  #ootd #fashion #style #allyouneedisstyle #todayimwearing,sarcasm,tweeteval_irony_train
